#1
इमं|imam|idam — this (acc. sg. masc., referring to yogam)
विवस्वते|vivasvate|Vivasvat — the sun-god (dat. sg. 'to Vivasvat')
योगं|yogam|yoga — yoga (acc. sg., object of proktavān)
प्रोक्तवानहमव्ययम्|proktavān aham avyayam|pra-vac — to declare, teach (proktavān: perfect active participle used as a finite verb, 'I have declared, taught');;aham — I (nom. sg.);;a-vyaya — imperishable, undying (avyayam: acc. sg. masc., agreeing with yogam)
--
विवस्वान्मनवे|vivasvān manave|Vivasvat — the sun-god (vivasvān: nom. sg.);;Manu — Manu, the first man and lawgiver, son of Vivasvat (manave: dat. sg. 'to Manu')
प्राह|prāha|ah — to say, declare (prāha: perfect 3rd sg. with the prefix pra-, used as simple past, 'declared')
मनुरिक्ष्वाकवेऽब्रवीत्|manuḥ ikṣvākave abravīt|Manu — Manu (manuḥ: nom. sg.; -uḥ + i- → -ur i-);;Ikṣvāku — Ikṣvāku, legendary first king of the solar dynasty (ikṣvākave: dat. sg. 'to Ikṣvāku');;brū — to speak, tell (abravīt: imperfect 3rd sg. 'told'; ikṣvākave + a- → ikṣvākave 'a-, with avagraha)
#2
एवं|evam|evam — thus
परम्पराप्राप्तमिमं|paramparā-prāptam imam|paramparā — succession, tradition (first compound member);;prāpta — attained, received (paramparā-prāpta: 'received through [an unbroken] succession', acc. sg. masc., agreeing with imam yogam);;idam — this (imam: acc. sg. masc.)
राजर्षयो|rājarṣayaḥ|rājan — king (first compound member);;ṛṣi — sage (rāja-ṛṣi: 'royal sage', rājarṣayaḥ: nom. pl.; -a + ṛ- → -ar-; -aḥ before v- → -o)
विदुः|viduḥ|vid — to know (viduḥ: perfect 3rd pl. used as present, 'they know')
--
स|saḥ|tad — that, it (nom. sg. masc., referring to yogaḥ)
कालेनेह|kālena iha|kāla — time (kālena: instr. sg. 'through time');;iha — here, in this world (kālena + iha → kāleneha, -a + i- → -e-)
महता|mahatā|mahat — great (instr. sg., agreeing with kālena)
योगो|yogaḥ|yoga — yoga (nom. sg.; -aḥ before n- → -o)
नष्टः|naṣṭaḥ|naś — to be lost, perish (naṣṭa: past participle, nom. sg. 'lost')
परन्तप|parantapa|parantapa — 'scorcher of the foe', a common epithet of warriors, here of Arjuna (vocative)
#3
स|saḥ|tad — that, it (nom. sg. masc., referring to yogaḥ)
एवायं|eva ayam|eva — indeed, the very same;;idam — this (ayam: nom. sg. masc.; eva + a- → evā-)
मया|mayā|aham — I (instr. sg. 'by me')
तेऽद्य|te adya|tvam — you (te: enclitic dat. sg. 'to you'; te + a- → te ' with avagraha);;adya — today, now (adverb)
योगः|yogaḥ|yoga — yoga (nom. sg.)
प्रोक्तः|proktaḥ|pra-vac — to declare, teach (prokta: past participle 'declared, taught', nom. sg.)
पुरातनः|purātanaḥ|purātana — ancient, old (nom. sg., agreeing with yogaḥ)
--
भक्तोऽसि|bhaktaḥ asi|bhaj — to share, be devoted to (bhakta: past participle 'devoted, a devotee', bhaktaḥ: nom. sg.; -aḥ + a- → -o with avagraha);;as — to be (asi: present 2nd sg. 'you are')
मे|me|aham — I (me: enclitic gen. sg. 'my')
सखा|sakhā|sakhi — friend (nom. sg.)
चेति|ca iti|ca — and;;iti — thus (closing the quoted reasoning; ca + iti → ceti)
रहस्यं|rahasyam|rahasya — secret, mystery (nom. sg. neut.)
ह्येतदुत्तमम्|hi etat uttamam|hi — for, indeed (hi + e- → hy e-);;etad — this (etat: nom. sg. neut., referring to the teaching);;uttama — supreme, highest (uttamam: nom. sg. neut., agreeing with rahasyam)
#4
अपरं|aparam|a-para — later, more recent (aparam: nom. sg. neut., agreeing with janma)
भवतो|bhavataḥ|bhavat — your honour, you (respectful 3rd-person form; gen. sg. 'your'; -aḥ before j- → -o)
जन्म|janma|janman — birth (nom. sg. neut.)
परं|param|para — earlier, prior, former (here contrasted with apara; param: nom. sg. neut., agreeing with janma)
जन्म|janma|janman — birth (nom. sg. neut.)
विवस्वतः|vivasvataḥ|Vivasvat — the sun-god (gen. sg. 'of Vivasvat')
--
कथमेतद्विजानीयां|katham etat vijānīyām|katham — how? (adverb);;etad — this (etat: acc. sg. neut., 'this matter');;vi-jñā — to know, understand (vijānīyām: optative 1st sg. 'how am I to understand')
त्वमादौ|tvam ādau|tvam — you (nom. sg.);;ādi — beginning (ādau: loc. sg. 'at the outset, in the beginning')
