#1
संन्यासं|saṃnyāsam|saṃnyāsa — renunciation (acc. sg. neut., object of śaṃsasi)
कर्मणां|karmaṇām|karman — action (gen. pl. 'of actions')
कृष्ण|kṛṣṇa|Kṛṣṇa — Kṛṣṇa, Arjuna's charioteer and interlocutor (vocative)
पुनर्योगं|punar yogam|punar — again (adverb);;yoga — yoga (acc. sg., object of śaṃsasi, parallel to saṃnyāsam)
च|ca|ca — and
शंससि|śaṃsasi|śaṃs — to praise, proclaim, declare (śaṃsasi: present 2nd sg. 'you praise, proclaim')
--
यच्छ्रेय|yat śreyaḥ|yad — which (yat: nom. sg. neut. relative);;śreyas — better, more excellent (comparative; śreyaḥ: nom. sg. neut., predicate; yat + ś- → yac ch-)
एतयोरेकं|etayoḥ ekam|etad — this (etayoḥ: gen. dual 'of these two');;eka — one (ekam: nom. sg. neut., 'the one [that is better]'; etayoḥ + e- → etayor e-)
तन्मे|tat me|tad — that (tat: acc. sg. neut., object of brūhi; -t + m- → -n m-);;aham — I (me: enclitic dat. sg. 'to me')
ब्रूहि|brūhi|brū — to speak, tell (brūhi: imperative 2nd sg. 'tell!')
सुनिश्चितम्|suniścitam|su — well, thoroughly (prefix);;ni-ci — to ascertain, determine (niścita: past participle 'ascertained, determined', su-niścita: 'well-ascertained, decisively', acc. sg. neut., adverbial predicate to tat)
#2
संन्यासः|saṃnyāsaḥ|saṃnyāsa — renunciation (nom. sg., subject)
कर्मयोगश्च|karma-yogaḥ ca|karman — action (first compound member);;yoga — yoga (karma-yoga: 'the yoga of action', nom. sg.; -aḥ + c- → -aś c-);;ca — and
निःश्रेयसकरावुभौ|niḥśreyasa-karau ubhau|niḥśreyasa — the highest good, beatitude (first compound member);;kara — making, productive of (niḥśreyasa-kara: 'productive of the highest good', nom. dual masc., agreeing with saṃnyāsaḥ and karmayogaḥ);;ubha — both (ubhau: nom. dual 'both'; -au + u- → -āv u-)
--
तयोस्तु|tayoḥ tu|tad — that, they (tayoḥ: gen. dual 'of these two'; -ḥ + t- → -s t-);;tu — but, however
कर्मसंन्यासात्कर्मयोगो|karma-saṃnyāsāt karma-yogaḥ|karman — action (first compound member);;saṃnyāsa — renunciation (karma-saṃnyāsa: 'renunciation of action', abl. sg. 'than renunciation of action');;karman — action (first compound member, repeated);;yoga — yoga (karma-yoga: 'the yoga of action', nom. sg., subject; -aḥ before v- → -o)
विशिष्यते|viśiṣyate|vi-śiṣ — to be distinguished, excel (viśiṣyate: present passive 3rd sg. 'is distinguished, excels')
#3
ज्ञेयः|jñeyaḥ|jñā — to know (jñeya: gerundive 'is to be known', nom. sg. masc.)
स|saḥ|tad — that, he (nom. sg. masc.)
नित्यसंन्यासी|nitya-saṃnyāsī|nitya — eternal, constant (first compound member);;saṃnyāsin — a renouncer (nitya-saṃnyāsin: 'a perpetual renouncer', nom. sg.)
यो|yaḥ|yad — who (nom. sg. masc. relative; -aḥ before n- → -o)
न|na|na — not
द्वेष्टि|dveṣṭi|dviṣ — to hate, feel aversion (dveṣṭi: present 3rd sg.)
न|na|na — not
काङ्क्षति|kāṅkṣati|kāṅkṣ — to desire, long for (kāṅkṣati: present 3rd sg.)
--
निर्द्वन्द्वो|nirdvandvaḥ|nir-dvandva — free from the pairs of opposites (nom. sg.; -aḥ before h- → -o)
हि|hi|hi — for, indeed
महाबाहो|mahā-bāho|mahā — great (first compound member);;bāhu — arm (mahā-bāhu: 'great-armed', vocative, epithet of Arjuna)
सुखं|sukham|sukha — easily, happily (adverbial acc. sg. neut.)
बन्धात्प्रमुच्यते|bandhāt pramucyate|bandha — bondage (bandhāt: abl. sg. 'from bondage');;pra-muc — to release, free completely (pramucyate: present passive 3rd sg. 'is released')
#4
सांख्ययोगौ|sāṃkhya-yogau|sāṃkhya — sāṃkhya (kept untranslated per convention; first compound member);;yoga — yoga (sāṃkhya-yoga: 'sāṃkhya and yoga', acc. dual, object of pravadanti)
पृथग्बालाः|pṛthak bālāḥ|pṛthak — separately, differently (adverb; -k + b- → -g b-);;bāla — child, fool (bālāḥ: nom. pl., subject of pravadanti)
प्रवदन्ति|pravadanti|pra-vad — to declare, assert (pravadanti: present 3rd pl.)
न|na|na — not
पण्डिताः|paṇḍitāḥ|paṇḍita — learned, wise (nom. pl., 'not the wise')
--
एकमप्यास्थितः|ekam api āsthitaḥ|eka — one (ekam: acc. sg. neut., object of āsthitaḥ);;api — even, only (ekam + api → ekam api);;ā-sthā — to resort to, take one's stand in (āsthita: past participle 'having taken one's stand in, resorted to', nom. sg.; api + ā- → apy ā-)
सम्यगुभयोर्विन्दते|samyak ubhayoḥ vindate|samyak — properly, fully, completely (adverb; -k + u- → -g u-);;ubhaya — both (ubhayoḥ: gen. dual 'of both'; -oḥ + v- → -or v-);;vid — to find, obtain (vindate: present middle 3rd sg. 'obtains')
फलम्|phalam|phala — fruit, result (acc. sg., object of vindate)
#5
यत्सांख्यैः|yat sāṃkhyaiḥ|yad — which (yat: nom. sg. neut. relative, subject of prāpyate);;sāṃkhya — sāṃkhya, kept untranslated (sāṃkhyaiḥ: instr. pl. 'by the followers of sāṃkhya')
प्राप्यते|prāpyate|pra-āp — to attain, reach (prāpyate: present passive 3rd sg. 'is attained')
स्थानं|sthānam|sthāna — place, state, station (nom. sg. neut., subject of prāpyate)
तद्योगैरपि|tat yogaiḥ api|tad — that (tat: nom. sg. neut., referring to sthānam; -t + y- → -d y-);;yoga — yoga (yogaiḥ: instr. pl. 'by the followers of yoga');;api — also, too (yogaiḥ + api → yogair api)
गम्यते|gamyate|gam — to go (gamyate: present passive 3rd sg. 'is reached, gone to')
--
एकं|ekam|eka — one (acc. sg. neut., object of paśyati, predicate: 'sees [as] one')
सांख्यं|sāṃkhyam|sāṃkhya — sāṃkhya, kept untranslated (acc. sg. neut., object of paśyati)
च|ca|ca — and
योगं|yogam|yoga — yoga (acc. sg. neut., object of paśyati)
च|ca|ca — and
यः|yaḥ|yad — who (nom. sg. masc. relative)
पश्यति|paśyati|dṛś — to see (paśyati: present 3rd sg.)
स|saḥ|tad — that, he (nom. sg. masc.)
पश्यति|paśyati|dṛś — to see (paśyati: present 3rd sg., repeated: 'he [truly] sees')
#6
संन्यासस्तु|saṃnyāsaḥ tu|saṃnyāsa — renunciation (nom. sg.; -aḥ + t- → -as t-);;tu — but, however
महाबाहो|mahā-bāho|mahā-bāhu — great-armed, epithet of Arjuna (vocative)
दुःखमाप्तुमयोगतः|duḥkham āptum ayogataḥ|duḥkha — sorrow, suffering (duḥkham: acc. sg. neut., object of āptum);;āp — to attain, reach (āptum: infinitive 'to attain');;a-yoga — absence of yoga, without yoga (ayogataḥ: adverbial abl. 'without yoga, apart from yoga')
--
योगयुक्तो|yoga-yuktaḥ|yoga — yoga (first compound member);;yukta — joined, disciplined, one who has attained (yoga-yukta: 'disciplined in yoga', nom. sg.; -aḥ before m- → -o)
मुनिर्ब्रह्म|muniḥ brahma|muni — a sage, one who keeps silence (muniḥ: nom. sg., subject; -iḥ + b- → -ir b-);;brahman — brahman (brahma: acc. sg. neut., object of adhigacchati, kept untranslated)
नचिरेणाधिगच्छति|na cireṇa adhigacchati|na — not;;cira — long (cireṇa: instr. sg. adverbial 'with delay, slowly'; na cireṇa: 'not slowly, i.e. quickly, before long');;adhi-gam — to reach, attain (adhigacchati: present 3rd sg.; cireṇa + a- → cireṇā-)
#7
योगयुक्तो|yoga-yuktaḥ|yoga — yoga (first compound member);;yukta — disciplined, joined (yoga-yukta: 'disciplined in yoga', nom. sg.; -aḥ before v- → -o)
विशुद्धात्मा|viśuddha-ātmā|vi-śuddha — thoroughly purified (first compound member; viśuddha + ātmā → viśuddhātmā);;ātman — self (viśuddha-ātman: 'whose mind is purified', nom. sg.)
विजितात्मा|vijita-ātmā|vi-ji — to conquer fully (vijita: past participle 'conquered', first compound member; vijita + ātmā → vijitātmā);;ātman — self (vijita-ātman: 'whose self is conquered', nom. sg.)
जितेन्द्रियः|jita-indriyaḥ|ji — to conquer (jita: past participle 'conquered', first compound member; jita + indriya → jitendriya at the hyphen);;indriya — sense-organ (jita-indriya: 'whose senses are conquered', nom. sg.)
--
सर्वभूतात्मभूतात्मा|sarva-bhūta-ātma-bhūta-ātmā|sarva — all (first compound member);;bhūta — being, creature (second compound member; sarva-bhūta: 'all beings');;ātman — self (third compound member; sarvabhūta + ātma → sarvabhūtātma at the hyphen);;bhūta — become (fourth compound member, past participle of bhū);;ātman — self (fifth member, sarva-bhūta-ātma-bhūta-ātmā: 'whose self has become the self of all beings', nom. sg.; bhūta + ātmā → bhūtātmā at the second hyphen)
